AP,HP,card_type_id,color_id,cost,effect,effect_en,id,image_url,image_url_en,name_en,name_ja,rarelity_id,tribe_id
1,2,1,2,1,死亡時：ランダムな味方ユニット１体を＋１/＋０する,Deathrattle：Give a random friendly minion ＋１/＋０.,1540,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/536/1540.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/536/1540.png,Flambe,フランベル,2,5
1,2,1,6,1,死亡時：カースボトルを１枚相手の手札に加える,Deathrattle：Add a Curse Bottle to the opponent Player\'s hand.,1535,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/534/1535.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/534/1535.png,Haru Michelle,ハル・ミシェーレ,3,5
2,2,1,3,4,召喚時：カードを１枚引く ２マナを得る,Summon：Draw a Card.Get ２ manas.,1570,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/510/1570.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/510/1570.png,Casco Flave,キャスコ・フレープ,3,5
1,3,1,4,2,召喚時：味方ユニット１体を＋０/＋１ 対象がフェアリーの場合代わりに＋１/＋２する,Summon：Give a friendly minion ＋０/＋１ if the target is a fairy ＋１/＋２ instead.,1565,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/508/1565.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/508/1565.png,Chopart,ショパート,3,5
2,3,1,5,3,召喚時：味方ユニット１体を破壊して、そのユニットと同じユニットを１体出す,Summon:Destroy a friendly minion and recruit the same minion that was destroyed.,1560,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/506/1560.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/506/1560.png,Afternoon Ramie,アフタヌーン・ラミィ,3,5
2,1,1,6,3,連撃 死亡時：ランダムな相手ユニット１体を−２/−３する,Attack twice Deathrattle：Give a random minion ー２/−３.,1555,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/504/1555.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/504/1555.png,Zadkiel of Humility,謙譲のザドギエル,3,1
2,2,1,2,2,召喚時：味方リーダーを味方ユニット１体の攻撃力分回復する,Summon：Restore Health equal to the Attack of a friendly minion to your hero.,1550,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/502/1550.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/502/1550.png,Oar Schlein,オーア・シュライン,3,5
6,9,1,3,6,召喚時 ターン終了時：ランダムな相手１体に６ダメージ,Summon Turn End : Deal ６ damage to a random enemy.,1310,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/500/1310.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/500/1310.png,Guin the Lightning Emperor,雷帝 ガイン,5,5
10,10,1,6,10," ""はいはい、おチビちゃんたちぃチョコあげるわよぉ〜♡"" "," ""Hey little ones I’ll give you chocolate♡"" ",1530,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/479/1530.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/479/1530.png,Deep Joshka Chocolate,ディープ・ヨシュカ チョコラート,2,4
4,3,1,3,6,召喚時：ランダムな相手ユニット３体に２ダメージ,Summon：Deal ２ damage to ３ random enemy minions.,1525,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/477/1525.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/477/1525.png,poseidon the God of Ocean,海皇神 ポセイドン,3,1
3,8,1,2,7,ターン終了時：このユニットの攻撃力を２倍にする,Turn end：Double the Attack of this minion.,1325,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/475/1325.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/475/1325.png,Surtr the Blazing Giant,灼熱の巨人 スルト,3,2
2,2,1,4,2," "" やる気が出ます！ "" "," ""Motivating!"" ",1520,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/427/1520.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/427/1520.png,Aporo\'s Cat Komugi,あぽろの猫 こむぎ,2,3
1,1,1,6,3,召喚時：相手の手札にカースボトルを３枚加える,Summon：Add ３ Curse Bottles to the opponent player\'s hand.,1515,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/425/1515.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/425/1515.png,Madness Caller,狂気を呼ぶ者,2,4
4,4,1,6,6,死亡時：ハデス以外のランダムな味方ユニット１体を破壊して４/４のハデスを１体出す,Deathrattle:Destroy a random friendly minion apart from Hades and recruit a ４/４ Hades.,1490,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/424/1490.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/424/1490.png,Hades,冥界の王 ハデス,3,4
3,3,1,4,3,召喚時:手札の全ての緑のマジックボトルを覚醒させる,Summon:Develop all Green Magic Bottles in your hand.,1465,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/420/1465.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/420/1465.png,Liz the Forest Green Sorcerer,深緑の魔道士 リーズ,3,5
,,2,2,2,カードを３枚引く 味方リーダーに６ダメージ,Draw ３ cards.Deal ６ damage to your hero.,1495,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/419/1495.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/419/1495.png,Bloody Contract,鮮血の契約,2,9
2,1,1,6,2,召喚時：相手ユニット１体をー１/ー１する,Summon: Deal ー１/ー１ to an enemy minion.,1485,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/418/1485.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/418/1485.png,Fao the Dark Priestess,闇の巫女 ファオ,3,4
2,1,1,6,2,召喚時：相手ユニット１体をー１/ー１する,Summon: Deal ー１/ー１ to an enemy minion.,1480,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/417/1480.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/417/1480.png,Fao the Dark Priestess,闇の巫女 ファオ,2,4
1,3,1,5,3,ターン終了時：自身を除くランダムな味方ユニット１体を＋０/＋２する,Turn end：Give another random friendly minion ＋０/＋２.,1510,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/416/1510.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/416/1510.png,Eir Valkyrie of Mercy,慈悲の救済 エイル,2,1
,,2,3,0,カードを2枚引く 味方リーダーに体力の半分（切捨て）のダメージ,Draw ２ cards.Deal damage half(truncated) of your hero\'s Health to your hero.,1505,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/415/1505.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/415/1505.png,Tomoi\'s High Leverage Long Position,ともいのハイレバロング,2,9
1,3,1,4,2,ターン終了時：同じユニットが２体以上いる時 ランダムな味方ユニット１体を＋１/＋１する,Turn end:If there are ２ or more same minions give a random friendly minion ＋１/＋１.,1500,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/414/1500.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/414/1500.png,Red Riding Hood,希望の奪還者 赤ずきん,2,7
4,3,1,1,3,,,1460,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/397/1460.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/397/1460.png,Bluish Purple Wing Dragon,紫紺の翼竜,3,6
2,3,1,5,4,速攻 ターン終了時: このユニットを２回復する,Rapid Turn end:Restore ２ Health to this minion.,1475,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/396/1475.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/396/1475.png,Baihu,白虎,3,3
4,6,1,6,7,召喚時：両リーダーの体力を合計して半分ずつ分け合う,Summon:Sum the Health of both heroes and share them by half.,1470,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/395/1470.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/395/1470.png,Azazel the Fallen Angel of Gloom,悲観の堕天使 アザゼル,3,1
,,2,6,0,黒のシルバーカード１種類を運営と協議の上発行できる,One type of black silver card Can be issued in consultation with developers.,1245,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/394/1245.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/394/1245.png,Silver card issuance rights,シルバーカード発行権,4,9
,,2,4,0,緑のシルバーカード１種類を運営と協議の上発行できる,One type of green silver card Can be issued in consultation with developers.,1235,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/393/1235.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/393/1235.png,Silver card issuance rights,シルバーカード発行権,4,9
,,2,3,0,青のシルバーカード１種類を運営と協議の上発行できる,One type of blue silver card Can be issued in consultation with developers.,1230,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/392/1230.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/392/1230.png,Silver card issuance rights,シルバーカード発行権,4,9
,,2,2,0,赤のシルバーカード１種類を運営と協議の上発行できる,One type of red silver card Can be issued in consultation with developers.,1225,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/391/1225.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/391/1225.png,Silver card issuance rights,シルバーカード発行権,4,9
0,1,1,4,0,召喚時：緑のマジックボトルを１枚手札に加える,Summon: Add a Green Magic Bottle to your hand.,1385,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/390/1385.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/390/1385.png,Lief,リーフ,2,5
0,1,1,3,1,召喚時：青のマジックボトルを１枚手札に加える,Summon: Add a Blue Magic Bottle to your hand.,1380,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/389/1380.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/389/1380.png,Zoi Russel,ゾーイ・ラッセル,3,5
0,2,1,5,2,召喚時：カードを１枚引く,Summon: Draw a card.,1375,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/388/1375.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/388/1375.png,Twinkle Charm,トゥインクルチャーム,2,5
2,1,1,2,2,死亡時：カードを１枚引く,Deathrattle:Draw a card.,1370,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/387/1370.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/387/1370.png,Clara Shurei,クララ・シュレイ,3,5
5,6,1,5,6,召喚時：カードを２枚引く このユニットに２ダメージ,Summon:Draw ２ cards.Deal ２ damage to this minion.,1405,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/386/1405.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/386/1405.png,Odin the Omniscient,全知神 オーディン,3,1
10,2,1,2,9,召喚時:相手リーダーの体力が１０になるようにダメージを与える,Summon:Deal damage to ruduce the Health of enemy hero to １０.,1395,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/385/1395.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/385/1395.png,Evil Dragon Hellblaze,魔竜 ヘルブレイズ,3,6
,,2,6,0,黒文明のレジェンドカード１枚をプレミアム化させる,Convert a legend card of Black civilization into a Premium card.,1455,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/370/1455.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/370/1455.png,Darkness Magic Stone,闇の魔石,4,9
,,2,6,0,黒文明のゴールドカード１枚をプレミアム化させる,Convert a gold card of Black civilization into a Premium card.,1450,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/369/1450.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/369/1450.png,Darkness Magic Stone,闇の魔石,3,9
,,2,5,0,白文明のレジェンドカード１枚をプレミアム化させる,Convert a legend card of White civilization into a Premium card.,1445,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/368/1445.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/368/1445.png,Light Magic Stone,光の魔石,4,9
,,2,5,0,白文明のゴールドカード１枚をプレミアム化させる,Convert a gold card of White civilization into a Premium card.,1440,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/367/1440.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/367/1440.png,Light Magic Stone,光の魔石,3,9
,,2,4,0,緑文明のレジェンドカード１枚をプレミアム化させる,Convert a legend card of Green civilization into a Premium card.,1435,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/366/1435.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/366/1435.png,Wind Magic Stone,風の魔石,4,9
,,2,4,0,緑文明のゴールドカード１枚をプレミアム化させる,Convert a gold card of Green civilization into a Premium card.,1430,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/365/1430.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/365/1430.png,Wind Magic Stone,風の魔石,3,9
,,2,3,0,青文明のレジェンドカード１枚をプレミアム化させる,Convert a legend card of Blue civilization into a Premium card.,1425,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/364/1425.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/364/1425.png,Water Magic Stone,水の魔石,4,9
,,2,3,0,青文明のゴールドカード１枚をプレミアム化させる,Convert a gold card of Blue civilization into a Premium card.,1420,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/363/1420.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/363/1420.png,Water Magic Stone,水の魔石,3,9
,,2,2,0,赤文明のレジェンドカード１枚をプレミアム化させる,Convert a legend card of Red civilization into a Premium card.,1415,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/362/1415.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/362/1415.png,Fire Magic Stone,炎の魔石,4,9
,,2,2,0,赤文明のゴールドカード１枚をプレミアム化させる,Convert a gold card of Red civilization into a Premium card.,1410,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/361/1410.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/361/1410.png,Fire Magic Stone,炎の魔石,3,9
4,5,1,6,8,召喚時:自分の墓地を８消費して相手ユニット１体を−５/−５する,Summon:Spend ８ of your graveyard and deal −５/−５ to an enemy minion.,1390,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/360/1390.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/360/1390.png,Dracolich,ドラコリッチ,2,4
1,1,1,3,1,死亡時：青のマジックボトルを１枚手札に加える,Deathrattle: Add a Blue Magic bottle to your hand.,1365,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/359/1365.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/359/1365.png,Christmas Snowman,クリスマス スノーマン,2,7
1,1,1,3,1,死亡時：青のマジックボトルを１枚手札に加える,Deathrattle: Add a Blue Magic bottle to your hand.,1360,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/358/1360.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/358/1360.png,Christmas Snowman,クリスマス スノーマン,3,7
5,5,1,3,8,召喚時：自身を除くランダムな味方ユニット1体の攻撃力と体力を2倍にする,Summon:Double the Attack and Health of a random other friendly minion.,1400,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/357/1400.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/357/1400.png,Qing Long,青竜,3,6
0,3,1,6,1,攻撃不可 ターン終了時：ランダムな相手ユニット１体をー１/−０する,Cannot attack Turn end：Deal −１/−０ to a random enemy minion.,1355,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/356/1355.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/356/1355.png,Illsory Demonic Glove the Earth,幻想魔盤 ジ・アース,3,5
,,2,4,4,カードを３枚引く,Draw 3 cards.,1350,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/340/1350.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/340/1350.png,Collecting in Autumn,秋の採集,3,9
2,1,1,1,1,召喚時：相手リーダーに１ダメージ,Summon: Deal １ damage to an enemy leader.,1335,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/339/1335.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/339/1335.png,Purple Golden More,パープル・ゴールデンモア,2,3
2,1,1,1,1,召喚時：相手リーダーに１ダメージ,Summon: Deal １ damage to an enemy leader.,1330,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/338/1330.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/338/1330.png,Golden Golden More,ゴールデン・ゴールデンモア,3,3
3,2,1,4,4,召喚時 : 他の味方ユニット1体につき、このユニットを+1/+1,Summon:Give this minion ＋１/＋１ for each other friendly minion.,1345,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/337/1345.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/337/1345.png,Huanglong,四聖の長 黄竜,3,6
1,4,1,3,2,ターン終了時:ダメージを受けたランダムな味方ユニット1体を2回復,Turn end:Restore ２ health of a random damaged friendly minion.,1340,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/336/1340.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/336/1340.png,Hameln,ハーメルン,3,5
2,1,1,5,1,召喚時 : 味方ユニット１体を＋０/＋３して１ダメージ,Summon ＋０/＋３ Give and deal １ damage to a friendly minion.,1300,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/291/1300.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/291/1300.png,Panda Magician,パンダの奇術師,3,5
2,6,1,2,4,速攻 飛行 召喚時：相手１体に５ダメージ,Rapid Jump over Summon: Deal ５ damage to an enemy.,1295,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/290/1295.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/290/1295.png,Lucia the Armor Princess,重装姫 ルチア,4,2
1,2,1,6,1,死亡時：ランダムな相手ユニット１体をー１/ー１,Deathrattle: Deal ー１/ー１ to a random enemy unit.,1270,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/289/1270.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/289/1270.png,Halloween Lilith,ハロウィン リリス,3,4
1,2,1,6,4,死亡時：５/５のグレンデルを１体出す,Deathrattle : Summon a Grendel.,1290,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/288/1290.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/288/1290.png,Succubus,サキュバス,3,4
1,4,1,2,3,速攻 連撃,Quick Double attack,1285,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/287/1285.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/287/1285.png,Loup-Garou the New Moon,真月のルー・ガルー,3,3
2,2,1,1,2,前衛,Frontline,1275,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/286/1275.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/286/1275.png,Scarlet Rock Giant,緋岩の巨人,3,3
,,2,4,5,味方ビースト１体の攻撃力と体力を２倍にする,Double the Attack and Health of a friendly beast,1280,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/266/1280.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/266/1280.png,Monstrosify,怪物化,2,9
,,2,5,0,白のシルバーカード１種類を運営と協議の上発行できる,One type of white silver card Can be issued in consultation with developers.,1240,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/265/1240.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/265/1240.png,Silver card issuance rights,シルバーカード発行権,4,9
1,1,1,4,1,召喚時：１/１の紅葉のエルフを１体出す,Recruit a １/１ Autumn Leaves Fairy.,1265,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/264/1265.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/264/1265.png,Autumn Leaves Fairy,紅葉のエルフ,3,7
4,4,1,6,5,召喚時:ユニット1体を-2/-2対象が悪魔なら代わりに+2/+2する,Summon : Deal ー２/ー２ to a unit if the target is a demon ＋２/＋２ instead.,1260,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/257/1260.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/257/1260.png,Amon the Demon Prince,謀略の魔候アモン,3,4
5,7,1,5,7,召喚時：全ての味方天使を＋０/＋２する,Summon : Give all friendly angels ＋０/＋２.,1255,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/256/1255.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/256/1255.png,Osiris the God of Grave,王墓の冥神 オシリス,3,1
1,1,1,2,1,召喚時：味方ソルジャー１体を＋２/＋０する,Summon : Give a friendry soldier ＋２/＋０.,1155,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/255/1155.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/255/1155.png,Piare\'s chef Sylvia,ピアーレの料理番 シルヴィア,2,2
2,6,1,2,6,前衛 召喚時：全てのキャラクターに２ダメージ,Frontline Summon: Deal ２ damage to all characters.,1210,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/251/1210.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/251/1210.png,Heat of Flame Ifrit,炎熱の咆哮 イフリート,3,4
1,1,1,4,1,召喚時：緑のマジックボトルを２枚手札に加える,Add ２ Green Magic Bottles to your hand.,1250,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/237/1250.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/237/1250.png,Puss in Boots,長靴をはいた猫,3,3
1,3,1,3,3,召喚時：青のマジックボトルを２枚手札に加える,Summon： Add ２ Magic bottles to your hand.,1150,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/236/1150.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/236/1150.png,Wave Rider Little Mermaid,荒波乗りの人魚,3,7
5,4,1,2,8,召喚時：相手ユニット1体と相手リーダーに4ダメージ,Summon: Deal 4 damage to a enemy unit and enemy leader.,1145,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/235/1145.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/235/1145.png,Mane of Flame,炎の鬣,3,3
2,3,1,4,3,召喚時：場が上限になるまで１/１の聖域のエルフを出す,Summon：Recruit １/１ Sacred Elves until your battlefield is full.,1140,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/232/1140.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/232/1140.png,Frigg,豊穣の女神 フリッグ,4,7
6,4,1,2,6,死亡時：ウロボロスを１枚手札に加える,Deathrattle: Add Ouroboros to your hand.,1135,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/231/1135.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/231/1135.png,Ouroboros,輪廻の神蛇 ウロボロス,3,6
3,4,1,5,3,召喚時：相手の墓地をー４する,Summon: enemy graveyard ー４.,1185,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/227/1185.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/227/1185.png,Redeemer,浄化する者,2,1
0,3,1,5,5,召喚時：相手ユニット１体の攻撃力を0にする,Summon: Change a enemy unit Attack to be 0.,1130,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/226/1130.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/226/1130.png,The Emperor with New Clothes,裸の王様,3,7
3,2,1,4,5,召喚時：金太郎の相棒を１体出す,Summon: Summon a Kintaro\'s Partner.,1125,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/225/1125.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/225/1125.png,Kintaro,金太郎,3,7
2,3,1,2,4,召喚時：全ての相手ユニットに１ダメージ,Summon: Deal 1 damage to all enemy unit.,1120,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/224/1120.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/224/1120.png,The Little Match Girl,マッチ売りの少女,3,7
,,2,4,4,カードを３枚引く,Draw 3 cards.,1220,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/217/1220.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/217/1220.png,Collecting in Summer,初夏の採集,3,9
3,6,1,5,6,召喚時：全ての味方ユニットの体力を４回復する,Summon: Restore ４ Health to all friendly characters.,1190,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/216/1190.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/216/1190.png,Healing Wing Dragon,癒やし翼のドラゴン,2,6
2,1,1,1,2,速攻,Quick,1215,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/214/1215.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/214/1215.png,Hot air Griffin,熱風のグリフィン,3,3
3,3,1,3,5,召喚時：相手ユニット１体に手札の枚数分ダメージ,Summon: Deal damage to a enemy unit for the number of cards in hand. ,1115,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/211/1115.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/211/1115.png,Killer Sweet,キラー・スウィート,3,5
1,1,1,5,7,召喚時：２/９の歴戦のパラディンを２体出す,Summon: Summon ２ Paradin of War.,1100,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/210/1100.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/210/1100.png,Princess Blossom,プリンセスブロッサム,4,1
2,2,1,4,3,召喚時：自身を除くランダムな味方ユニット１体を+２/+２する,Summon: Give a random oer friendly unit +２/+２.,1205,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/209/1205.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/209/1205.png,Shimariskr,黄金の霊獣 シマリスク,3,3
2,2,1,4,3,召喚時：自身を除くランダムな味方ユニット１体を+２/+２する,Give another random friendly minion ＋２/＋２.,1175,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/208/1175.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/208/1175.png,Shimariskr,世界樹の霊獣 シマリスク,2,3
7,4,1,3,9,召喚時：ライトニングボトルを３枚手札に加える,Summon: Add 3 Lightning bottles to your hand.,1170,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/207/1170.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/207/1170.png,Giga Thunderfish,ギガサンダーフィッシュ,2,3
6,4,1,4,7,速攻 召喚時：コスト４以上の中立ビーストを２体出す,Rapid Summon：Recruit ２ neutral beasts whith cost 4 or more.,1110,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/199/1110.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/199/1110.png,Shumon the Lion,獅子族 シュモン,5,3
0,0,1,6,6,前衛 召喚時：＊は自分の墓地の枚数に等しい,Frontline Summon: ＊ is equal to the number of my graveyards. ,1095,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/198/1095.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/198/1095.png,Nyarlathotep,無貌神 ニャルラトホテプ,4,4
